Source:,D:\Dropbox\Hardware_projects\MusselGapeTracker\KiCad_files\MusselGapeTracker_RevF\MusselGapeTracker_RevF.kicad_sch,,,,,,
Date:,2023-02-28 08:47,,,,,,
Tool:,Eeschema (7.0.0),,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,,
Component Count:,163,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor,DNP
"A139_HALL0, A139_HALL1, A139_HALL2, A139_HALL3, A139_HALL4, A139_HALL5, A139_HALL6, A139_HALL7, A139_HALL8, A139_HALL9, A139_HALL10, A139_HALL11, A139_HALL12, A139_HALL13, A139_HALL14, A139_HALL15, A139_HALL16, A139_HALL17, A139_HALL18, A139_HALL19",20,HALL_EFFECT_ALLEGRO_A139MLP/DFN-6,HALL_EFFECT_ALLEGRO_A139MLP{slash}DFN-6,MusselGapeTracker_RevE:A139*_HALL_EFFECT,,,
BJT0,1,KSC1623_BJT_TRANSISTOR,KSC1623_BJT_TRANSISTOR,MusselGapeTracker_RevE:SOT23,,,
"BUTTON1, BUTTON2",2,PUSHBUTTON_DPST_SMDSTANDARD,PUSHBUTTON_DPST_SMDSTANDARD,MusselGapeTracker_RevE:PUSHBUTTON_DPST_SMD,,,
"C1, C2",2,1 µF,CPOL-USB,MusselGapeTracker_RevE:PANASONIC_B,,,
"C3, C4, C5, C6, C7, C8, C9, C23, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69",28,0.1 µF,CAP0603,MusselGapeTracker_RevE:0603,,,
C10,1,10 µF,CAP0603,MusselGapeTracker_RevE:0603,,,
CR1220_BATTERY0,1,CR1220_BATTERY_HOLDERSMD,CR1220_BATTERY_HOLDERSMD,MusselGapeTracker_RevE:CR1220_BATTERY_HOLDER_SMD,,,
GND0,1,PINHD-1X1SMALL,PINHD-1X1SMALL,MusselGapeTracker_RevE:1X01_SMALL,,,
GROUND_CON0,1,SOLDER_JUMPER_TRACESTANDARD,SOLDER_JUMPER_TRACESTANDARD,MusselGapeTracker_RevE:SJ_2S-TRACE,,,
"HALL0, HALL1, HALL2, HALL3, HALL4, HALL5, HALL6, HALL7, HALL8, HALL9, HALL10, HALL11, HALL12, HALL13, HALL14, HALL15",16,JST-4PINTH_STRAIGHT,JST-4PINTH_STRAIGHT,MusselGapeTracker_RevE:JST-PH-4-THM,,,
INDUCTOR0,1,10 µH,INDUCTOR0805_TY,MusselGapeTracker_RevE:I_0805,,,
J1,1,AVR_SPI_PRG_6PTH,AVR_SPI_PRG_6PTH,MusselGapeTracker_RevE:2X3,,,
JP1,1,FTDI_HEADER,PINHD-1X6RA,MusselGapeTracker_RevE:1X06-RIGHT_ANGLE,,,
LED1,1,RED_LED,LED0805,MusselGapeTracker_RevE:CHIPLED_0805,,,
LED2,1,GREEN_LED,LED0805,MusselGapeTracker_RevE:CHIPLED_0805,,,
MCP1700T-3302,1,MCP1700T-3302E/TT,MCP1700T-3302E{slash}TT,MusselGapeTracker_RevE:SOT95P237X112-3N,,,
MOLEX_KK0,1,22-23-2021,22-23-2021,MusselGapeTracker_RevE:22-23-2021,,,
OLED0,1,PINHD-1X4LOCK,PINHD-1X4LOCK,MusselGapeTracker_RevE:1X04_LOCK,,,
P-FET0,1,MOSFET-PCHANNELBSH203,MOSFET-PCHANNELBSH203,MusselGapeTracker_RevE:SOT23-3,,,
PB7,1,PINHD-1X1SMALL,PINHD-1X1SMALL,MusselGapeTracker_RevE:1X01_SMALL,,,
"R1, R2",2,100 ohm,RESISTOR_SMDR0603,MusselGapeTracker_RevE:R0603,,,
"R3, R6, R9, R14, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69",24,10k ohm,RESISTOR_SMDR0603,MusselGapeTracker_RevE:R0603,,,
"R4, R5, R15",3,100k ohm,RESISTOR_SMDR0603,MusselGapeTracker_RevE:R0603,,,
"R7, R8",2,4.7k ohm,RESISTOR_SMDR0603,MusselGapeTracker_RevE:R0603,,,
R28,1,10k ohm,RESISTOR_SMDR0603,MusselGapeTracker_RevE:R0603,,,
"R29, R31, R32, R33",4,10k ohm,RESISTOR_SMDR0603,MusselGapeTracker_RevE:R0603,,,
R30,1,15k ohm,RESISTOR_SMDR0603,MusselGapeTracker_RevE:R0603,,,
RESET0,1,PUSHBUTTON_DPST_SMDSMALL,PUSHBUTTON_DPST_SMDSMALL,MusselGapeTracker_RevE:PUSHBUTTON_SPST_PTS525_SERIES,,,
"SHIFT_0, SHIFT_1",2,74HC595D,74HC595D,MusselGapeTracker_RevE:SO16,,,
"STANDOFF1, STANDOFF2, STANDOFF3",3,STAND-OFF4-40,STAND-OFF4-40,MusselGapeTracker_RevE:STAND-OFF,,,
STANDOFF4_M2,1,STAND-OFFM2,STAND-OFFM2,MusselGapeTracker_RevE:STAND-OFF_M2,,,
STANDOFF5_M2,1,STAND-OFFM2,STAND-OFFM2,MusselGapeTracker_RevE:STAND-OFF_M2,,,
U1,1,ATMEGA328P,ATMEGA328_SMT,MusselGapeTracker_RevE:TQFP32-08,,,
"U2 (place U2 or U3, not both)",1,DS3231M+TRL,DS3231M+TRL,DS3231M_TRL:SOIC127P1032X265-16N,,,
"U3 (place U2 or U3, not both)",1,DS3231MZ,DS3231MZ,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"Â±5ppm, I2C Real-Time Clock SOIC-8",,
U$1,1,MICROSD_MOLEX_REVERSECURRENT,MICROSD_MOLEX_REVERSECURRENT,MusselGapeTracker_RevE:MICROSD_SOCKET_MOLEX_REVERSEMOUNT,,,
U$2,1,74HC4067SM96,74HC4067SM96,MusselGapeTracker_RevE:SSOP24,,,
"U$3, U$4, U$6, U$7, U$8, U$9, U$10, U$11, U$17",9,PINHD-1X1SMALL,PINHD-1X1SMALL,MusselGapeTracker_RevE:1X01_SMALL,,,
"UNK2,1MM_JACK0",1,"POWER_JACK_2,1MM","POWER_JACK_2,1MM","MusselGapeTracker_RevE:POWER_JACK_DC_2,1MM",,,
